Index,Card,Chinese Name,Japanese Name,Upright Meaning,Reversed Meaning
0,The Fool,愚者,愚者（フール）,"New beginnings, innocence, adventure, free spirit","Recklessness, hesitation, naive"
1,The Magician,魔術師,魔術師（マジシャン）,"Manifestation, power, resourcefulness, action","Manipulation, poor planning, deception"
2,The High Priestess,女祭司,女祭司（ハイ・プリエステス）,"Intuition, mystery, subconscious knowledge","Secrets revealed, disconnected from intuition"
3,The Empress,皇后,女帝（エンプレス）,"Fertility, abundance, nurturing, creativity","Creative block, dependence, stifled growth"
4,The Emperor,皇帝,皇帝（エンペラー）,"Authority, structure, stability, leadership","Domination, rigidity, lack of control"
5,The Hierophant,教皇,教皇（ヒエロファント）,"Tradition, beliefs, conformity, wisdom","Rebellion, freedom from convention, individuality"
6,The Lovers,戀人,恋人（ラヴァーズ）,"Love, harmony, choices, values alignment","Disharmony, poor choices, imbalance"
7,The Chariot,戰車,戦車（チャリオット）,"Willpower, control, determination, victory","Lack of direction, obstacles, scattered energy"
8,Strength,力量,力（ストレングス）,"Courage, compassion, inner strength","Self-doubt, weakness, insecurity"
9,The Hermit,隱者,隠者（ハーミット）,"Soul-searching, introspection, guidance","Isolation, loneliness, withdrawal"
10,Wheel of Fortune,命運之輪,運命の輪（ホイール・オブ・フォーチュン）,"Cycles, change, destiny, turning point","Resistance to change, bad luck"
11,Justice,正義,正義（ジャスティス）,"Fairness, truth, cause and effect","Dishonesty, lack of accountability, imbalance"
12,The Hanged Man,吊人,吊るされた男（ハングドマン）,"Pause, surrender, new perspective, sacrifice","Delays, resistance, indecision"
13,Death,死神,死神（デス）,"Endings, transformation, transition","Resistance to change, stagnation"
14,Temperance,節制,節制（テンペランス）,"Balance, moderation, patience, purpose","Imbalance, excess, rushed progress"
15,The Devil,惡魔,悪魔（デヴィル）,"Attachment, limitation, temptation","Breaking free, detachment, reclaim power"
16,The Tower,塔,塔（タワー）,"Upheaval, chaos, revelation","Avoidance, fear of change, resistance"
17,The Star,星星,星（スター）,"Hope, renewal, inspiration, healing","Lack of faith, despair, discouragement"
18,The Moon,月亮,月（ムーン）,"Illusion, intuition, subconscious","Confusion, fear, inner clarity"
19,The Sun,太陽,太陽（サン）,"Joy, success, positivity, clarity","Lack of confidence, hidden truths"
20,Judgement,審判,審判（ジャッジメント）,"Rebirth, reflection, inner calling","Self-doubt, ignoring call, fear of change"
21,The World,世界,世界（ワールド）,"Completion, fulfillment, accomplishment","Delays, lack of closure, stagnation"
22,Ace of Wands,權杖王牌,ワンドのエース,"Inspiration, potential, new energy","Lack of motivation, delays"
23,Two of Wands,權杖二,ワンドの2,"Planning, decisions, future vision","Fear of unknown, lack of planning"
24,Three of Wands,權杖三,ワンドの3,"Expansion, foresight, opportunities","Lack of foresight, delays"
25,Four of Wands,權杖四,ワンドの4,"Celebration, harmony, milestone","Instability, lack of support"
26,Five of Wands,權杖五,ワンドの5,"Conflict, competition, challenge","Avoiding conflict, resolution"
27,Six of Wands,權杖六,ワンドの6,"Victory, recognition, success","Egotism, lack of recognition"
28,Seven of Wands,權杖七,ワンドの7,"Perseverance, defense, challenge","Giving up, overwhelmed"
29,Eight of Wands,權杖八,ワンドの8,"Movement, rapid action, flow","Delays, frustration"
30,Nine of Wands,權杖九,ワンドの9,"Resilience, persistence, stamina","On edge, defensive, paranoia"
31,Ten of Wands,權杖十,ワンドの10,"Burden, responsibility, workload","Releasing burdens, delegation"
32,Page of Wands,權杖侍者,ワンドのペイジ,"Enthusiasm, exploration, discovery","Lack of direction, procrastination"
33,Knight of Wands,權杖騎士,ワンドのナイト,"Energy, passion, adventure","Impulsiveness, haste"
34,Queen of Wands,權杖皇后,ワンドのクイーン,"Confidence, independence, joy","Insecurity, jealousy"
35,King of Wands,權杖國王,ワンドのキング,"Leadership, vision, entrepreneur","Impulsiveness, ruthlessness"
36,Ace of Cups,聖杯王牌,カップのエース,"Emotions, love, new feelings","Blocked emotions, emptiness"
37,Two of Cups,聖杯二,カップの2,"Partnership, connection, harmony","Imbalance, break in relationship"
38,Three of Cups,聖杯三,カップの3,"Celebration, friendship, community","Overindulgence, gossip"
39,Four of Cups,聖杯四,カップの4,"Contemplation, apathy, miss opportunities","Re-engagement, new awareness"
40,Five of Cups,聖杯五,カップの5,"Loss, grief, disappointment","Acceptance, moving on"
41,Six of Cups,聖杯六,カップの6,"Nostalgia, innocence, reunion","Stuck in past, naivety"
42,Seven of Cups,聖杯七,カップの7,"Choices, illusion, wishes","Confusion, unrealistic options"
43,Eight of Cups,聖杯八,カップの8,"Leaving behind, introspection","Indecision, aimless drifting"
44,Nine of Cups,聖杯九,カップの9,"Contentment, satisfaction, wish fulfilled","Inner happiness, dissatisfaction"
45,Ten of Cups,聖杯十,カップの10,"Bliss, family, harmony","Misalignment, disconnect"
46,Page of Cups,聖杯侍者,カップのペイジ,"Creative message, intuition","Doubting intuition, emotional immaturity"
47,Knight of Cups,聖杯騎士,カップのナイト,"Romance, charm, imagination","Unrealistic, moody, jealousy"
48,Queen of Cups,聖杯皇后,カップのクイーン,"Compassion, nurturing, intuition","Self-care focus, co-dependency"
49,King of Cups,聖杯國王,カップのキング,"Emotional balance, diplomacy","Moody, manipulative"
50,Ace of Swords,寶劍王牌,ソードのエース,"Clarity, breakthroughs, truth","Clouded judgement, rethink"
51,Two of Swords,寶劍二,ソードの2,"Difficult choices, stagnation","Indecision, confusion"
52,Three of Swords,寶劍三,ソードの3,"Heartbreak, sorrow, pain","Releasing pain, forgiveness"
53,Four of Swords,寶劍四,ソードの4,"Rest, recuperation, contemplation","Burn-out, stagnation"
54,Five of Swords,寶劍五,ソードの5,"Conflict, defeat, discord","Reconciliation, amends"
55,Six of Swords,寶劍六,ソードの6,"Transition, journey, release","Resistance to change, unfinished"
56,Seven of Swords,寶劍七,ソードの7,"Strategy, deception, stealth","Self-deceit, conscience issues"
57,Eight of Swords,寶劍八,ソードの8,"Restriction, limiting beliefs","Releasing limits, empowerment"
58,Nine of Swords,寶劍九,ソードの9,"Anxiety, worry, fear","Inner turmoil, release"
59,Ten of Swords,寶劍十,ソードの10,"Endings, collapse, pain","Regeneration, new cycle"
60,Page of Swords,寶劍侍者,ソードのペイジ,"Curiosity, vigilance, ideas","Hastiness, miscommunication"
61,Knight of Swords,寶劍騎士,ソードのナイト,"Swift action, assertive, logic","Impulsiveness, recklessness"
62,Queen of Swords,寶劍皇后,ソードのクイーン,"Clarity, independence, honesty","Cold-heart, bitterness"
63,King of Swords,寶劍國王,ソードのキング,"Authority, intellect, truth","Rigidity, misuse of power"
64,Ace of Pentacles,錢幣王牌,ペンタクルのエース,"Opportunity, prosperity, foundation","Missed chance, instability"
65,Two of Pentacles,錢幣二,ペンタクルの2,"Balance, adaptability, priorities","Over-commitment, imbalance"
66,Three of Pentacles,錢幣三,ペンタクルの3,"Collaboration, craftsmanship, mastery","Lack of teamwork, delays"
67,Four of Pentacles,錢幣四,ペンタクルの4,"Stability, conservation, security","Greed, rigidity, holding on"
68,Five of Pentacles,錢幣五,ペンタクルの5,"Hardship, insecurity, lack","Recovery, resilience, support"
69,Six of Pentacles,錢幣六,ペンタクルの6,"Giving, receiving, generosity","Strings attached, inequity"
70,Seven of Pentacles,錢幣七,ペンタクルの7,"Perseverance, sustainable results","Lack of long-term plan"
71,Eight of Pentacles,錢幣八,ペンタクルの8,"Skill, mastery, apprenticeship","Perfectionism, misdirected effort"
72,Nine of Pentacles,錢幣九,ペンタクルの9,"Abundance, self-sufficiency","Over-investment, materialism"
73,Ten of Pentacles,錢幣十,ペンタクルの10,"Wealth, legacy, security","Financial instability, lack of stability"
74,Page of Pentacles,錢幣侍者,ペンタクルのペイジ,"Opportunity, learning, manifestation","Procrastination, lack of progress"
75,Knight of Pentacles,錢幣騎士,ペンタクルのナイト,"Hard work, routine, reliability","Boredom, stagnation"
76,Queen of Pentacles,錢幣皇后,ペンタクルのクイーン,"Nurturing, practicality, provider","Work-life conflict, self-care focus"
77,King of Pentacles,錢幣國王,ペンタクルのキング,"Wealth, leadership, discipline","Stubbornness, financial ineptitude"
